"","Date","Rot Home Team","Rot Away Team","Back2Back Home","HomeTeam","AwayTeam","1st Home Team Goals","1st Away Team Goals","2nd Home Team Goals","2nd Away Team Goals","3rd Home Team Goals","3rd Away Team Goals","FinalHome","FinalAway","Open Home Team","Open Away Team","CloseHomeTeam","CloseAwayTeam","Puck Line Home Team","Puck Line Away Team","...12","...33","Open OU","...14","...35","Close OU","...16","...37","DeadlineInd","Year","Game ID","DeadlineDays","Back2Back Away","BoundaryProbHome","BoundaryProbAway","BoundaryProbHome2","BoundaryProbAway2","Back2BackHome","Back2BackAway","ID"
"1124",2022-04-06,56,55,1,"Anaheim","Calgary",0,1,1,1,1,2,2,4,205,-255,220,-250,1.5,-1.5,"-120","100",6,-115,-105,6,-110,-110,1,1,1124,16,1,0.3125,0.714285714285714,0.304347826086956,0.695652173913043,0,0,1124
"1125",2022-04-07,58,57,1,"NYRangers","Pittsburgh",0,0,2,0,1,0,3,0,-120,100,-125,115,-1.5,1.5,"200","-230",5.5,105,-125,5.5,105,-125,1,1,1125,17,1,0.555555555555556,0.465116279069767,0.544303797468354,0.455696202531646,0,0,1125
"1126",2022-04-07,60,59,1,"Columbus","Philadelphia",1,0,0,3,0,1,1,4,-140,120,-125,115,-1.5,1.5,"175","-200",6,-105,-115,6.5,-115,-105,1,1,1126,17,1,0.555555555555556,0.465116279069767,0.544303797468354,0.455696202531646,0,0,1126
"1127",2022-04-07,62,61,1,"Ottawa","Nashville",0,1,1,0,1,2,2,3,160,-190,150,-165,1.5,-1.5,"-170","150",6,100,-120,6,100,-120,1,1,1127,17,1,0.4,0.622641509433962,0.391143911439114,0.608856088560886,0,0,1127
"1128",2022-04-07,64,63,1,"NewJersey","Montreal",1,3,1,1,2,3,4,7,-170,145,-155,140,-1.5,1.5,"145","-165",6.5,-105,-115,6.5,100,-120,1,1,1128,17,1,0.607843137254902,0.416666666666667,0.593301435406699,0.406698564593302,0,0,1128
"1129",2022-04-07,66,65,1,"Carolina","Buffalo",0,2,2,1,3,0,5,3,-390,305,-350,300,-1.5,1.5,"-140","120",6,100,-120,6,105,-125,1,1,1129,17,1,0.777777777777778,0.25,0.756756756756757,0.243243243243243,0,0,1129
"1130",2022-04-07,68,67,1,"Chicago","Seattle",0,0,0,1,0,1,0,2,-150,130,-145,132,-1.5,1.5,"170","-190",6,105,-125,6.5,-115,-105,1,1,1130,17,0,0.591836734693878,0.431034482758621,0.578603371173031,0.421396628826969,0,1,1130
"1131",2022-04-07,70,69,1,"Dallas","Toronto",1,1,0,1,2,1,3,4,120,-140,135,-150,1.5,-1.5,"-180","160",6.5,-105,-115,6.5,100,-120,1,1,1131,17,1,0.425531914893617,0.6,0.4149377593361,0.5850622406639,0,0,1131
"1132",2022-04-07,72,71,1,"Arizona","Vancouver",0,1,1,3,0,1,1,5,160,-190,150,-165,1.5,-1.5,"-160","140",6,-110,-110,6,-105,-115,1,1,1132,17,0,0.4,0.622641509433962,0.391143911439114,0.608856088560886,0,1,1132
"1133",2022-04-07,74,73,1,"SanJose","Calgary",1,2,0,1,1,1,2,4,190,-235,156,-172,1.5,-1.5,"-165","145",6,-105,-115,6,100,-120,1,1,1133,17,0,0.390625,0.632352941176471,0.381850853548967,0.618149146451033,0,1,1133
"1134",2022-04-07,76,75,1,"LosAngeles","Edmonton",0,1,1,1,1,1,2,3,105,-125,115,-125,1.5,-1.5,"-210","185",6.5,-115,-105,6.5,-110,-110,1,1,1134,17,1,0.465116279069767,0.555555555555556,0.455696202531646,0.544303797468354,0,0,1134
"1135",2022-04-08,78,77,1,"TampaBay","Boston",0,0,1,1,0,0,1,2,-160,135,-150,135,-1.5,1.5,"160","-180",6,-120,100,6,-120,100,1,1,1135,18,1,0.6,0.425531914893617,0.5850622406639,0.4149377593361,0,0,1135
"1136",2022-04-08,80,79,1,"Florida","Buffalo",1,3,2,0,1,0,4,3,-360,290,-430,360,-1.5,1.5,"-170","150",7,-125,105,7,100,-120,1,1,1136,18,0,0.811320754716981,0.217391304347826,0.788676236044657,0.211323763955343,0,1,1136
"1137",2022-04-08,82,81,0,"Carolina","NYIslanders",0,0,0,1,1,1,1,2,-180,150,-172,156,-1.5,1.5,"150","-170",5.5,-110,-110,5.5,-110,-110,1,1,1137,18,1,0.632352941176471,0.390625,0.618149146451033,0.381850853548967,1,0,1137
"1138",2022-04-08,84,83,1,"St.Louis","Minnesota",1,1,0,1,2,1,4,3,-110,-110,-105,-105,1.5,-1.5,"-230","200",6,-125,105,6.5,-110,-110,1,1,1138,18,1,0.51219512195122,0.51219512195122,0.5,0.5,0,0,1138
"1139",2022-04-08,86,85,1,"Winnipeg","Colorado",2,1,0,2,2,1,4,5,170,-200,160,-180,1.5,-1.5,"-160","140",6,100,-120,6,100,-120,1,1,1139,18,1,0.384615384615385,0.642857142857143,0.374331550802139,0.625668449197861,0,0,1139
"1140",2022-04-09,2,1,1,"Dallas","NewJersey",0,0,1,0,0,3,1,3,-265,215,-210,190,-1.5,1.5,"105","-125",6.5,-115,-105,6.5,-110,-110,1,1,1140,19,1,0.67741935483871,0.344827586206897,0.662676822633297,0.337323177366703,0,0,1140
"1141",2022-04-09,4,3,1,"Pittsburgh","Washington",3,2,0,1,0,3,3,6,-145,125,-150,135,-1.5,1.5,"170","-190",6,-105,-115,6,110,-130,1,1,1141,19,1,0.6,0.425531914893617,0.5850622406639,0.4149377593361,0,0,1141
"1142",2022-04-09,6,5,1,"Nashville","Florida",1,1,0,1,0,2,1,4,115,-135,115,-125,1.5,-1.5,"-200","175",6.5,115,-135,7,100,-120,1,1,1142,19,0,0.465116279069767,0.555555555555556,0.455696202531646,0.544303797468354,0,1,1142
"1143",2022-04-09,8,7,1,"Toronto","Montreal",2,0,1,2,0,0,3,2,-420,320,-360,310,-1.5,1.5,"-150","130",6.5,105,-125,7,-120,100,1,1,1143,19,1,0.782608695652174,0.24390243902439,0.762396694214876,0.237603305785124,0,0,1143
